Period Year,Labor Force
1990-01-01,2589873
1991-01-01,2620564
1992-01-01,2687155
1993-01-01,2754297
1994-01-01,2829522
1995-01-01,2882201
1996-01-01,2933003
1997-01-01,2970086
1998-01-01,2969590
1999-01-01,2947247
2000-01-01,2973221
2001-01-01,3011703
2002-01-01,3024319
2003-01-01,3053642
2004-01-01,3034581
2005-01-01,3021086
2006-01-01,3058935
2007-01-01,3087828
2008-01-01,3091796
2009-01-01,3100348
2010-01-01,3081512
2011-01-01,3079759
2012-01-01,3073981
2013-01-01,3079305
2014-01-01,3081543
2015-01-01,3091723
2016-01-01,3123595
2017-01-01,3133405
2018-01-01,3118301
2019-01-01,3105142
